$ python rbmCdk.py
Training epoch 613, cost is 0.6221361142684022
Training epoch 614, cost is 0.5838580792170328
Training epoch 615, cost is 0.5674438082047807
Training epoch 616, cost is 0.5845788915013896
Training epoch 617, cost is 0.5890697347647537
Training epoch 618, cost is 0.5953998487082298
Training epoch 619, cost is 0.6061570221799295
Training epoch 620, cost is 0.617162952030228
Training epoch 621, cost is 0.6306125682677477
Training epoch 622, cost is 0.6452570166790796
Training epoch 623, cost is 0.6515344015537271
Training epoch 624, cost is 0.6560067142375571
Training epoch 625, cost is 0.6423806836851477
Training epoch 626, cost is 0.6122038119053004
Training epoch 627, cost is 0.6129322177071471
Training epoch 628, cost is 0.632178176728463
Training epoch 629, cost is 0.633446480277307
Training epoch 630, cost is 0.6444017969725085
Training epoch 631, cost is 0.6310944994755608
Training epoch 632, cost is 0.6156620778685268
Training epoch 633, cost is 0.6224403481159803
Training epoch 634, cost is 0.6100587098136236
Training epoch 635, cost is 0.6111053860934708
Training epoch 636, cost is 0.6058955139526462
Training epoch 637, cost is 0.6211250017573329
Training epoch 638, cost is 0.6302600273601621
Training epoch 639, cost is 0.6310877464024208
Training epoch 640, cost is 0.6111993572590246
Training epoch 641, cost is 0.6240341595911065
Training epoch 642, cost is 0.6298106445458788
Training epoch 643, cost is 0.6445431555858614
Training epoch 644, cost is 0.6223294294005718
Training epoch 645, cost is 0.6026917780456659
Training epoch 646, cost is 0.6139741361453843
Training epoch 647, cost is 0.6198484351373931
Training epoch 648, cost is 0.6075654822789237
Training epoch 649, cost is 0.6198905693628306
Training epoch 650, cost is 0.6263766896899249
Training epoch 651, cost is 0.639501360825611
Training epoch 652, cost is 0.6193731566479782
Training epoch 653, cost is 0.6426535950843281
Training epoch 654, cost is 0.6357736824409577
Training epoch 655, cost is 0.6309661474791678
Training epoch 656, cost is 0.62100213852359
Training epoch 657, cost is 0.6336972889040756
Training epoch 658, cost is 0.6088203934572111
Training epoch 659, cost is 0.6140991014793065
