============ generation 0 ===============
99 {'chromosome': '1010101010101011', 'fitness': 15}
============ generation 5 ===============
0 {'chromosome': '1010111001111011', 'fitness': 11}
1 {'chromosome': '1001111010110010', 'fitness': 11}
2 {'chromosome': '1110111010100111', 'fitness': 11}
3 {'chromosome': '1110101001101100', 'fitness': 11}
4 {'chromosome': '1010111110001100', 'fitness': 11}
5 {'chromosome': '1010111011001100', 'fitness': 11}
6 {'chromosome': '1010111010000011', 'fitness': 12}
7 {'chromosome': '1000101000101111', 'fitness': 12}
8 {'chromosome': '0010100011101110', 'fitness': 12}
9 {'chromosome': '0010100010001110', 'fitness': 12}
10 {'chromosome': '1011111011101011', 'fitness': 12}
11 {'chromosome': '0010111011101000', 'fitness': 12}
12 {'chromosome': '1010100011101111', 'fitness': 12}
13 {'chromosome': '1001101000101011', 'fitness': 12}
